community area,neighborhood,sides
1,ROGERS PARK,FAR NORTH SIDE
2,WEST RIDGE,FAR NORTH SIDE
3,UPTOWN,FAR NORTH SIDE
4,LINCOLN SQUARE,FAR NORTH SIDE
5,NORTH CENTER,NORTH SIDE
6,LAKE VIEW,NORTH SIDE
7,LINCOLN PARK,NORTH SIDE
8,NEAR NORTH SIDE,CENTRAL
9,EDISON PARK,FAR NORTH SIDE
10,NORWOOD PARK,FAR NORTH SIDE
11,JEFFERSON PARK,FAR NORTH SIDE
12,FOREST GLEN,FAR NORTH SIDE
13,NORTH PARK,FAR NORTH SIDE
14,ALBANY PARK,FAR NORTH SIDE
15,PORTAGE PARK,NORTHWEST SIDE
16,IRVING PARK,NORTHWEST SIDE
17,DUNNING,NORTHWEST SIDE
18,MONTCLARE,NORTHWEST SIDE
19,BELMONT CRAGIN,NORTHWEST SIDE
20,HERMOSA,NORTHWEST SIDE
21,AVONDALE,NORTH SIDE
22,LOGAN SQUARE,NORTH SIDE
23,HUMBOLDT PARK,WEST SIDE
24,WEST TOWN,WEST SIDE
25,AUSTIN,WEST SIDE
26,WEST GARFIELD PARK,WEST SIDE
27,EAST GARFIELD PARK,WEST SIDE
28,NEAR WEST SIDE,WEST SIDE
29,NORTH LAWNDALE,WEST SIDE
30,SOUTH LAWNDALE,WEST SIDE
31,LOWER WEST SIDE,WEST SIDE
32,LOOP,CENTRAL
33,NEAR SOUTH SIDE,CENTRAL
34,ARMOUR SQUARE,SOUTH SIDE
35,DOUGLAS,SOUTH SIDE
36,OAKLAND,SOUTH SIDE
37,FULLER PARK,SOUTH SIDE
38,GRAND BOULEVARD,SOUTH SIDE
39,KENWOOD,SOUTH SIDE
40,WASHINGTON PARK,SOUTH SIDE
41,HYDE PARK,SOUTH SIDE
42,WOODLAWN,SOUTH SIDE
43,SOUTH SHORE,SOUTH SIDE
44,CHATHAM,FAR SOUTHEAST SIDE
45,AVALON PARK,FAR SOUTHEAST SIDE
46,SOUTH CHICAGO,FAR SOUTHEAST SIDE
47,BURNSIDE,FAR SOUTHEAST SIDE
48,CALUMET HEIGHTS,FAR SOUTHEAST SIDE
49,ROSELAND,FAR SOUTHEAST SIDE
50,PULLMAN,FAR SOUTHEAST SIDE
51,SOUTH DEERING,FAR SOUTHEAST SIDE
52,EAST SIDE,FAR SOUTHEAST SIDE
53,WEST PULLMAN,FAR SOUTHEAST SIDE
54,RIVERDALE,FAR SOUTHEAST SIDE
55,HEGEWISCH,FAR SOUTHEAST SIDE
56,GARFIELD RIDGE,SOUTHWEST SIDE
57,ARCHER HEIGHTS,SOUTHWEST SIDE
58,BRIGHTON PARK,SOUTHWEST SIDE
59,MCKINLEY PARK,SOUTHWEST SIDE
60,BRIDGEPORT,SOUTH SIDE
61,NEW CITY,SOUTHWEST SIDE
62,WEST ELSDON,SOUTHWEST SIDE
63,GAGE PARK,SOUTHWEST SIDE
64,CLEARING,SOUTHWEST SIDE
65,WEST LAWN,SOUTHWEST SIDE
66,CHICAGO LAWN,SOUTHWEST SIDE
67,WEST ENGLEWOOD,SOUTHWEST SIDE
68,ENGLEWOOD,SOUTHWEST SIDE
69,GREATER GRAND CROSSING,SOUTH SIDE
70,ASHBURN,FAR SOUTHWEST SIDE
71,AUBURN GRESHAM,FAR SOUTHWEST SIDE
72,BEVERLY,FAR SOUTHWEST SIDE
73,WASHINGTON HEIGHTS,FAR SOUTHWEST SIDE
74,MOUNT GREENWOOD,FAR SOUTHWEST SIDE
75,MORGAN PARK,FAR SOUTHWEST SIDE
76,O'HARE,FAR NORTH SIDE
77,EDGEWATER,FAR NORTH SIDE